"","NGenes","Direction","PValue","FDR"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",94,"Up",7.40686154013208e-11,4.05854077250879e-07
"KEGG_RIBOSOME",88,"Up",1.46888916847948e-10,4.05854077250879e-07
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",126,"Up",4.8706950033778e-09,8.01287581718638e-06
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",117,"Up",5.80012726542626e-09,8.01287581718638e-06
"EGUCHI_CELL_CYCLE_RB1_TARGETS",22,"Up",1.97360147894872e-08,1.85514799850723e-05
"REACTOME_DNA_METHYLATION",60,"Up",2.01427578556703e-08,1.85514799850723e-05
"CROONQUIST_NRAS_SIGNALING_DN",92,"Up",2.7909539618299e-08,1.93567586974701e-05
"REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES",70,"Up",3.08718533006273e-08,1.93567586974701e-05
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",102,"Up",3.15256656310587e-08,1.93567586974701e-05
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",182,"Up",4.29732102670744e-08,2.37469959935853e-05
"CROONQUIST_IL6_DEPRIVATION_DN",117,"Up",5.14492834086019e-08,2.58462491014486e-05
"REN_BOUND_BY_E2F",96,"Up",7.41298185314639e-08,3.41367814337391e-05
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",178,"Up",8.617864284514e-08,3.66325523355572e-05
"MORI_LARGE_PRE_BII_LYMPHOCYTE_UP",123,"Up",1.04589398894164e-07,3.76179431426363e-05
"ISHIDA_E2F_TARGETS",55,"Up",1.06882692046494e-07,3.76179431426363e-05
"REACTOME_SELENOAMINO_ACID_METABOLISM",119,"Up",1.08919126001118e-07,3.76179431426363e-05
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",66,"Up",1.21126185482143e-07,3.7816704155466e-05
"ZHAN_MULTIPLE_MYELOMA_PR_UP",46,"Up",1.33169676735903e-07,3.7816704155466e-05
"YU_MYC_TARGETS_UP",45,"Up",1.36716189078589e-07,3.7816704155466e-05
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD",121,"Up",1.36868274178306e-07,3.7816704155466e-05
"KONG_E2F3_TARGETS",131,"Up",1.59722106459431e-07,4.06976935824198e-05
"REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE",74,"Up",1.62024838728418e-07,4.06976935824198e-05
"GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN",96,"Up",1.92063528911033e-07,4.61453504679291e-05
"WHITFIELD_CELL_CYCLE_LITERATURE",46,"Up",2.74027243081709e-07,6.30947727195636e-05
"REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION",64,"Up",3.078444518189e-07,6.80459376300496e-05
"OHASHI_AURKB_TARGETS",20,"Up",3.20815745087127e-07,6.81856848981333e-05
"KAMMINGA_EZH2_TARGETS",45,"Up",3.60252966543312e-07,7.37317738191978e-05
"REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA",70,"Up",4.31874202780672e-07,8.52334587344997e-05
"BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES",76,"Up",5.08316661790321e-07,9.68606163121832e-05
"MORI_IMMATURE_B_LYMPHOCYTE_DN",129,"Up",6.10120590057543e-07,0.000112384212688599
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR",109,"Up",6.44437699154901e-07,0.000113458699298339
"REACTOME_DNA_STRAND_ELONGATION",32,"Up",6.57017440743184e-07,0.000113458699298339
"REACTOME_CHROMOSOME_MAINTENANCE",120,"Up",7.04637550067526e-07,0.000114959937496457
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION",75,"Up",7.07317747897129e-07,0.000114959937496457
"SIMBULAN_PARP1_TARGETS_DN",34,"Up",9.98973641156226e-07,0.000154088158437114
"LY_AGING_MIDDLE_DN",33,"Up",1.00383165105612e-06,0.000154088158437114
"REACTOME_TELOMERE_MAINTENANCE",91,"Up",1.05503879205487e-06,0.000157571469321492
"MODY_HIPPOCAMPUS_PRENATAL",65,"Up",1.20124627177806e-06,0.000174686497311725
"RHODES_UNDIFFERENTIATED_CANCER",111,"Up",1.33690876432886e-06,0.000189429687991828
"WHITEFORD_PEDIATRIC_CANCER_MARKERS",168,"Up",1.50986422683345e-06,0.000208587742937041
"KEGG_DNA_REPLICATION",35,"Up",1.78509703618656e-06,0.000240596249316266
"KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN",12,"Up",2.41808018380279e-06,0.000318150264183195
"REACTOME_MEIOTIC_RECOMBINATION",82,"Up",2.55595244963504e-06,0.000328469610155424
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",155,"Up",2.80223559702421e-06,0.000351935316117177
"LI_WILMS_TUMOR_ANAPLASTIC_UP",17,"Up",3.06167092509187e-06,0.000375973189601282
"REACTOME_INFLUENZA_INFECTION",167,"Up",3.22975603718335e-06,0.000387991996988591
"CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP",62,"Up",3.66828232383866e-06,0.000429428386095379
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",190,"Up",3.73010541668081e-06,0.000429428386095379
"SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_DN",23,"Up",3.94398757754746e-06,0.000444785211296474
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",32,"Up",4.29118131783199e-06,0.000474261359246792
"KANG_DOXORUBICIN_RESISTANCE_UP",67,"Up",4.81429934184658e-06,0.000521643493393024
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",66,"Up",4.91828864030382e-06,0.000522662750506133
"BURTON_ADIPOGENESIS_PEAK_AT_24HR",60,"Up",5.11285249632982e-06,0.000530652362508058
"KOBAYASHI_EGFR_SIGNALING_24HR_DN",314,"Up",5.18552797239145e-06,0.000530652362508058
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE",57,"Up",5.47454275365452e-06,0.000550042241030815
"LY_AGING_OLD_DN",83,"Up",5.93938177082162e-06,0.000586089708313576
"PID_AURORA_B_PATHWAY",45,"Up",8.37201114000609e-06,0.000809265713765282
"HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP",202,"Up",8.49392171523459e-06,0.000809265713765282
"REACTOME_DNA_REPLICATION",130,"Up",9.02254144489013e-06,0.000845060407194285
"REACTOME_DNA_REPLICATION_PRE_INITIATION",87,"Up",9.67176158518749e-06,0.000890769241995768
"FINETTI_BREAST_CANCER_KINOME_RED",17,"Up",1.09282973702556e-05,0.000974412057803593
"SMID_BREAST_CANCER_LUMINAL_A_DN",20,"Up",1.09325999970725e-05,0.000974412057803593
"SONG_TARGETS_OF_IE86_CMV_PROTEIN",72,"Up",1.42586177634466e-05,0.00125068447239374
"DAZARD_UV_RESPONSE_CLUSTER_G5",39,"Up",1.46778885187325e-05,0.00126734393678931
"REACTOME_TRANSLATION",305,"Up",1.60714166467023e-05,0.0013458364361025
"MORI_PRE_BI_LYMPHOCYTE_UP",111,"Up",1.60740508112134e-05,0.0013458364361025
"REACTOME_LAGGING_STRAND_SYNTHESIS",20,"Up",1.67245110921568e-05,0.00137425345450208
"REACTOME_BASE_EXCISION_REPAIR",92,"Up",1.69108278874668e-05,0.00137425345450208
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN",68,"Up",1.93110812737234e-05,0.00154656572635645
"REACTOME_G2_M_CHECKPOINTS",187,"Up",2.01759840823043e-05,0.00159274982912591
"REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION",64,"Up",2.21386991096448e-05,0.0017230767785901
"REACTOME_HDACS_DEACETYLATE_HISTONES",87,"Up",2.26666060795837e-05,0.00173966201660805
"REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE",83,"Up",2.81137216471329e-05,0.00212793063866433
"GREENBAUM_E2A_TARGETS_UP",53,"Up",2.86124656779541e-05,0.00212793063866433
"PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP",64,"Up",2.88807089938156e-05,0.00212793063866433
"REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX",13,"Up",3.00293690243867e-05,0.00218345122669422
"REACTOME_UNWINDING_OF_DNA",12,"Up",3.11214288294465e-05,0.00223346773651327
"WANG_METASTASIS_OF_BREAST_CANCER_ESR1_UP",38,"Up",3.31886743368293e-05,0.00234315615094704
"REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION",92,"Up",3.34978892372088e-05,0.00234315615094704
"REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE",87,"Up",3.5631385268956e-05,0.00246123793745313
"TANG_SENESCENCE_TP53_TARGETS_DN",80,"Up",3.8813986626255e-05,0.00264797642094673
"WONG_EMBRYONIC_STEM_CELL_CORE",387,"Up",3.99675974294987e-05,0.00266477741873067
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND",15,"Up",4.002470607214e-05,0.00266477741873067
"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING",16,"Up",4.33712851558669e-05,0.0028532109734681
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",243,"Up",4.59030455136999e-05,0.00298423799422006
"GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP",237,"Up",4.77575897967959e-05,0.00306545431410163
"KALMA_E2F1_TARGETS",11,"Up",4.82617671601234e-05,0.00306545431410163
"KEGG_PROTEASOME",43,"Up",4.93191428501559e-05,0.00309701799306774
