ensgid	H_Cre_Ctrl_1	H_Cre_Ctrl_2	H_Cre_Ctrl_3	H_Cre_Ctrl_4	H_K2K4_DKO_1	H_K2K4_DKO_2	H_K2K4_DKO_3	H_K2K4_DKO_4
ENSMUSG00000102693.1	1	0	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	9	5	3	11	18	9	38	6
ENSMUSG00000102851.1	0	0	0	0	0	1	1	0
ENSMUSG00000103377.1	2	0	0	0	0	0	5	0
ENSMUSG00000104017.1	1	1	1	4	1	1	3	3
ENSMUSG00000103025.1	1	2	1	1	1	0	5	0
ENSMUSG00000089699.1	0	0	0	0	0	0	0	0
ENSMUSG00000103201.1	2	1	2	0	2	0	1	0
ENSMUSG00000103147.1	1	0	0	1	0	0	2	0
ENSMUSG00000103161.1	0	1	5	0	0	0	3	0
ENSMUSG00000102331.1	3	2	1	7	3	1	12	3
ENSMUSG00000102348.1	0	0	0	1	0	0	0	0
ENSMUSG00000102592.1	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	1	0	0	0	0	0	0	0
ENSMUSG00000025900.13	15	14	25	32	6	4	10	5
ENSMUSG00000102948.1	1	3	4	2	0	0	0	0
ENSMUSG00000104123.1	0	1	0	2	0	0	0	1
ENSMUSG00000025902.13	2591	3060	3215	2030	2998	2965	15112	3282
ENSMUSG00000104238.1	59	74	52	41	59	41	155	50
ENSMUSG00000102269.1	43	36	46	35	34	28	146	35
ENSMUSG00000096126.1	0	0	1	2	0	0	5	2
ENSMUSG00000103003.1	0	0	1	0	0	0	0	1
ENSMUSG00000104328.1	11	17	15	7	8	5	16	3
ENSMUSG00000102735.1	0	0	1	1	1	1	4	1
ENSMUSG00000098104.1	101	76	75	83	89	90	412	84
ENSMUSG00000102175.1	2	2	2	4	0	2	5	0
ENSMUSG00000088000.1	0	1	0	0	0	0	0	0
ENSMUSG00000103265.1	0	1	1	1	1	1	0	0
ENSMUSG00000103922.1	6	4	5	5	3	4	16	6
ENSMUSG00000033845.13	364	382	356	363	687	557	2149	769
ENSMUSG00000102275.1	11	8	9	7	6	3	29	7
ENSMUSG00000025903.14	889	916	927	1025	1775	1636	6520	2021
ENSMUSG00000104217.1	0	0	0	0	0	0	0	0
ENSMUSG00000033813.15	261	193	267	266	401	308	1273	451
ENSMUSG00000062588.4	4	2	2	5	2	1	18	4
ENSMUSG00000103280.1	18	15	25	27	23	15	62	19
ENSMUSG00000002459.17	10	9	5	13	14	8	33	21
ENSMUSG00000091305.1	0	0	0	0	0	2	1	0
ENSMUSG00000102653.1	0	0	1	0	0	0	5	1
ENSMUSG00000085623.1	0	0	1	1	0	0	4	3
ENSMUSG00000091665.1	1	0	0	0	0	0	0	0
ENSMUSG00000033793.12	1646	1629	1575	1655	2502	2145	9370	2792
ENSMUSG00000104352.1	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	0	1	0	1	0	0	0	0
ENSMUSG00000102907.1	0	0	0	0	0	0	0	0
ENSMUSG00000025905.14	2	1	0	3	2	0	3	1
ENSMUSG00000103936.1	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0	0	2
ENSMUSG00000033774.4	0	0	0	0	0	0	0	0
