ens_id	gene_symbol	ens_gs	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DE
ENSMUSG00000031163.2	Glod5	ENSMUSG00000031163.2_Glod5	58.4819754457684	9.22961706893829	1.32066216370112	6.98862837341578	2.77586615405208e-12	2.61068498290972e-11	UP
ENSMUSG00000033854.10	Kcnk10	ENSMUSG00000033854.10_Kcnk10	81.2002485685282	8.97883247254865	1.42506310054106	6.30065606859066	2.96388404692358e-10	2.35687564399414e-09	UP
ENSMUSG00000034883.9	Lrr1	ENSMUSG00000034883.9_Lrr1	40.1437080825227	7.96524245412793	1.06138901562738	7.5045457761966	6.16419677498007e-14	6.59799191534699e-13	UP
ENSMUSG00000096586.1	Gm22918	ENSMUSG00000096586.1_Gm22918	38.9859066893918	7.91992431446654	1.0871825303881	7.28481565247308	3.22110451136823e-13	3.26060400860331e-12	UP
ENSMUSG00000118086.1	AC106834.1	ENSMUSG00000118086.1_AC106834.1	20.9863803041267	7.74667472298654	1.09542978725261	7.07181310307031	1.52922296437413e-12	1.47197371476923e-11	UP
ENSMUSG00000074111.4	Mrgpra9	ENSMUSG00000074111.4_Mrgpra9	19.9286205760997	7.67622843813942	1.11976637278865	6.85520535772353	7.12101489587759e-12	6.5246604868998e-11	UP
ENSMUSG00000021680.8	Crhbp	ENSMUSG00000021680.8_Crhbp	19.2339100279579	7.63066857916629	1.13757736501511	6.70782384903107	1.97548191353227e-11	1.74932827168751e-10	UP
ENSMUSG00000111857.1	1190001M18Rik	ENSMUSG00000111857.1_1190001M18Rik	18.6559363429104	7.57042171036399	1.11963688688099	6.76149723099348	1.36572927845634e-11	1.2236034862729e-10	UP
ENSMUSG00000069302.5	H2ac12	ENSMUSG00000069302.5_H2ac12	17.8833715759193	7.51993096661965	1.12322210115324	6.69496349733392	2.15725474300701e-11	1.90522965262656e-10	UP
ENSMUSG00000105873.1	Gm43708	ENSMUSG00000105873.1_Gm43708	17.141005854417	7.45033379533478	1.11937799589621	6.65578010524482	2.81801311406019e-11	2.47078867675722e-10	UP
ENSMUSG00000048378.2	Olfr1394	ENSMUSG00000048378.2_Olfr1394	13.9979363006111	7.16687114538782	1.09548107392349	6.54221356807152	6.06148553385731e-11	5.15033106402924e-10	UP
ENSMUSG00000051527.11	Usp29	ENSMUSG00000051527.11_Usp29	183.381449528414	7.08132260815838	0.597144494268627	11.8586417125581	1.94098258411299e-32	5.95539915307304e-31	UP
ENSMUSG00000027022.14	Xirp2	ENSMUSG00000027022.14_Xirp2	21.3181656763879	7.03527716035416	1.0997205174333	6.39733191190628	1.58115383569063e-10	1.29003380419276e-09	UP
ENSMUSG00000069301.5	H2ac11	ENSMUSG00000069301.5_H2ac11	19.8526921018931	6.93807406191712	1.07675192860239	6.44352136979469	1.16732824705169e-10	9.62116632183589e-10	UP
ENSMUSG00000062496.9	4930431F12Rik	ENSMUSG00000062496.9_4930431F12Rik	19.1373648716924	6.89200610569901	1.07593561965177	6.40559340151749	1.49785653812383e-10	1.22469637767542e-09	UP
