ensgid	CRE_1_S1	CRE_2_S2	CRE_3_S3	CRE_4_S4	DKO_1_S5	DKO_2_S6	DKO_3_S7	DKO_4_S8
ENSMUSG00000000001.4	3795	4196	4283	4003	5515	5838	6660	7618
ENSMUSG00000000003.15	0	0	0	0	0	0	0	0
ENSMUSG00000000028.15	68	73	60	56	448	615	507	674
ENSMUSG00000000031.16	103	4	22	237	92	27	75	1674
ENSMUSG00000000037.17	21	13	15	13	10	78	36	53
ENSMUSG00000000049.11	1	0	0	0	0	2	0	0
ENSMUSG00000000056.7	307	372	455	381	564	365	721	892
ENSMUSG00000000058.6	15394	17592	16818	14062	8129	9778	9657	11116
ENSMUSG00000000078.7	13737	15410	14982	10560	18277	17799	23711	24176
ENSMUSG00000000085.16	1348	1469	1555	1257	1219	1450	1463	1926
ENSMUSG00000000088.7	233	258	213	218	363	452	532	614
ENSMUSG00000000093.6	5604	6525	6617	4987	1842	2520	2676	2613
ENSMUSG00000000094.12	247	469	274	257	206	234	236	374
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	11	9	2	16	17	21	33	12
ENSMUSG00000000125.5	0	1	2	4	5	0	1	12
ENSMUSG00000000126.11	63	81	82	93	70	66	40	94
ENSMUSG00000000127.15	1195	1354	1377	1035	1197	1137	1320	1570
ENSMUSG00000000131.15	1977	2025	2086	1481	2045	2141	2845	3241
ENSMUSG00000000134.17	1735	1639	1760	1292	1587	1615	1912	2164
ENSMUSG00000000142.15	969	1027	852	783	292	493	299	578
ENSMUSG00000000148.17	839	848	878	716	887	839	1005	1265
ENSMUSG00000000149.10	3350	3292	3249	2704	6645	6309	7391	8717
ENSMUSG00000000154.16	56	55	44	13	23	29	31	39
ENSMUSG00000000157.16	26	27	18	29	24	7	28	35
ENSMUSG00000000159.16	49	75	42	22	53	34	50	41
ENSMUSG00000000167.14	30	48	43	17	14	25	19	45
ENSMUSG00000000168.9	1038	1086	1010	928	1145	1187	1418	1598
ENSMUSG00000000171.5	837	958	871	719	1113	1070	1263	1477
ENSMUSG00000000182.9	0	0	4	0	0	13	14	28
ENSMUSG00000000183.6	0	0	0	0	0	0	3	0
ENSMUSG00000000184.12	5346	5676	5050	4129	8710	7620	8430	9968
ENSMUSG00000000194.13	2478	2481	2562	2177	2514	2763	3096	3813
ENSMUSG00000000197.8	19	12	22	10	15	3	2	17
ENSMUSG00000000202.9	0	0	3	0	4	0	7	2
ENSMUSG00000000204.16	9	18	18	9	10	13	29	26
ENSMUSG00000000214.11	0	0	0	0	0	0	0	0
ENSMUSG00000000215.11	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	954	1176	1116	860	557	800	750	849
ENSMUSG00000000223.13	11	8	8	22	12	19	36	34
ENSMUSG00000000244.17	10	24	15	10	16	8	24	18
ENSMUSG00000000247.11	0	2	0	2	13	9	13	22
ENSMUSG00000000248.16	0	1	2	1	0	3	0	2
ENSMUSG00000000253.13	50	72	70	47	44	40	79	72
ENSMUSG00000000263.15	0	2	6	7	0	0	3	5
ENSMUSG00000000266.11	8206	8368	8888	6608	4371	6399	5711	6789
ENSMUSG00000000275.16	2932	3269	3500	2720	2514	3385	3222	4241
ENSMUSG00000000276.11	2056	1979	2304	1840	1435	1542	1463	1784
ENSMUSG00000000278.10	311	381	298	312	399	588	649	660
ENSMUSG00000000282.12	611	905	902	711	674	605	733	1091
ENSMUSG00000000290.13	136	200	173	130	162	307	370	184
ENSMUSG00000000295.13	58	84	92	56	83	64	93	112
ENSMUSG00000000296.8	1	1	0	6	6	5	9	7
ENSMUSG00000000301.16	14	17	22	20	49	75	44	73
ENSMUSG00000000303.12	2330	2884	2983	2116	1098	1511	1424	1536
ENSMUSG00000000305.12	395	316	390	287	253	286	258	377
ENSMUSG00000000308.14	56	54	76	45	32	51	54	79
ENSMUSG00000000317.11	6220	6626	6276	3821	13656	11471	13534	19609
ENSMUSG00000000318.16	9	8	12	8	60	37	56	35
ENSMUSG00000000320.10	448	568	494	434	907	561	940	1039
ENSMUSG00000000325.16	252	390	273	194	1091	464	926	1113
ENSMUSG00000000326.13	759	787	820	580	961	984	1225	1418
ENSMUSG00000000339.14	478	409	369	376	521	463	678	755
ENSMUSG00000000340.10	397	421	320	349	355	391	416	524
ENSMUSG00000000346.9	6308	6903	6664	5393	6105	5310	5883	7541
ENSMUSG00000000355.13	371	361	337	296	518	474	621	605
ENSMUSG00000000359.3	48	86	43	66	44	39	32	38
ENSMUSG00000000365.9	0	5	0	2	2	3	2	5
ENSMUSG00000000374.8	2415	2369	2389	2044	1740	2116	2141	2144
ENSMUSG00000000378.15	776	889	794	716	978	1309	1292	1469
ENSMUSG00000000381.10	0	1	0	0	0	0	10	0
ENSMUSG00000000384.15	660	669	675	484	699	857	1053	1041
ENSMUSG00000000385.8	491	544	547	493	199	292	258	302
ENSMUSG00000000386.16	5	11	17	0	35	21	44	96
