A	Coef.H.DKOVsCtrl	Coef.L.DKOVsCtrl	t.H.DKOVsCtrl	t.L.DKOVsCtrl	p.value.H.DKOVsCtrl	p.value.L.DKOVsCtrl	F	F.p.value	Res.H.DKOVsCtrl	Res.L.DKOVsCtrl
ENSMUSG00000051951.5	-1.29980254784665	0.55291561778687	-1.04924043562747	0	-1.09847156422012	0.540980261488063	0.143897106451748	3.74316694084139	0.043971405299211	0	0
ENSMUSG00000025900.13	-0.174430295635553	-2.43170400926712	-1.81369214879266	-4.24883718730355	-5.22850099073	0.000248076976207533	2.94665068693785e-05	45.4336068590182	1.02216767940516e-07	-1	-1
ENSMUSG00000025902.13	7.13064338424114	0.228826790069381	0.226553879611036	0	0	0.99410119815269	0.995287130285546	3.31487833191684	0.059752143910597	0	0
ENSMUSG00000104238.1	0.736891479554677	-0.346627192713112	-1.01358675999956	0	-1.42924441046292	0.829609108219549	0.0851533422214117	6.71996819010503	0.00670035876405167	0	0
ENSMUSG00000102269.1	1.07842383363597	-0.24122838869288	-0.55959700449409	0	0	0.955926360965909	0.56734004348445	7.98361411242676	0.00335338642355011	0	0
ENSMUSG00000104328.1	-1.65784326159809	-1.39265939945478	0.631771445051751	-1.57037499469032	0.0874189352938504	0.0675751740871367	0.483447549487033	4.3633198744793	0.0287153664739456	0	0
ENSMUSG00000098104.1	-0.360680640379751	0.155625373228221	0.0045550785756383	0	0	0.984235309133959	0.996338685177928	0.353851560721855	0.706809117285634	0	0
ENSMUSG00000033845.13	4.20352176383244	0.713336258151239	0.550096090922521	1.10080420248854	0	0.142826963950685	0.615055474077661	29.6755709499325	2.15212882605783e-06	0	0
ENSMUSG00000025903.14	5.42705960653112	0.850553385510484	0.531094656141545	4.1467396411215	0	0.000309658978152477	0.782317483745229	119.113814050821	4.99645338935496e-11	1	0
ENSMUSG00000033813.15	4.44962424735856	0.507517575538677	0.174603255981849	0	0	0.737976858695321	0.999943543157377	11.2561954609397	0.000693240056264423	0	0
ENSMUSG00000103280.1	-1.15094602182105	-0.300154542033059	1.09950119889103	0	0.791218870639557	0.776543257470198	0.228910039969398	1.70765805995141	0.209695069684003	0	0
ENSMUSG00000002459.17	-1.97176207922691	0.22074813786508	-0.528148814599676	0	0	0.822337533054018	0.615199667678515	0.310537496028932	0.736946591912842	0	0
ENSMUSG00000033793.12	6.15524750545525	0.528675783592429	0.300573955645923	0	0	0.822151130796897	0.999905143729377	51.869810675101	3.77581182715148e-08	0	0
ENSMUSG00000025907.14	7.02224942288155	-0.0147533809774432	-0.139455764030186	0	0	0.999999986032979	0.999999033517228	2.37196750423704	0.122131651324395	0	0
ENSMUSG00000090031.2	2.23950504771691	0.155659244691949	0.16193685162699	0	0	0.99029246122833	0.972964479754446	0.736995270980069	0.492602876064945	0	0
ENSMUSG00000051285.17	6.49002280296184	-0.644143738327823	-0.815958420227675	-0.665322574139112	-2.47796102364728	0.257189061236227	0.0117413766766129	64.5733866397099	6.97627268708782e-09	0	0
ENSMUSG00000098201.1	-1.04628578611773	-0.403463874854104	-1.21852110223279	0	-1.42029852483924	0.676925943096675	0.086794014041396	4.15881701524293	0.0329734606164593	0	0
